tone_ratings,value,SID
1.0,It means you don't have to try very hard to count calories as long as you cut out universally unhealthy things like sugar.,s001
0.0,not so good i feel about this one,s002
1.0,Maybe it could do more than just make people run faster. Maybe do other things faster.,s003
1.0,"Maybe dancing won't just keep the heart young, but your brain too.",s004
0.0,CBD is it a waste of money? Or can it help us? Many unknowns. Might be fake and a waste.,s005
0.0,This is about the attempt to remove the endangered species act,s008
1.0,Healthy and nutritional value of banana over carbonated drinks,s009
1.0,CBD can help people with their pain,s010
1.0,Kids skipped school to protest demand on climate issues.,s012
1.0,I'm interested in alternative energy.,s014
1.0,This is a good way to be more environmentally friendly at the same time save some money.,s015
0.0,Statin users should be aware of its drawbacks.,s017
0.0,Climate change may be disastrous in the future. Some regions may face several crises at one time.,s018
1.0,"As fossil fuels are harmful to the environment, it is desirable to use solar energy as much as possible. This will benefit the earth. It is beneficial to every human being including me so it matters if the world is adding more solar power.",s019
0.0,"It matters to me personally because I now have abdominal obesity, which may develop into something else in the future.",s020
0.0,The article is about how ineffective antioxidants are with regards to post-exercise muscle aches.,s021
1.0,A lot of people I know care about the environment and sustainability.,s024
1.0,This article describes how people's immune systems come together to fight off colds and flu.,s025
0.0,This is about climate,s028
0.0,Climate changes is one of the major thing in US and it has causes 1 trillion dollar  in leading companies in the USA and it will become visible in the next 5 years .,s030
1.0,Recycle is important.,s031
0.0,This article expresses a lie and an attempt to undermine President Trump's prestige.,s032
1.0,Both solar power and fossil fuels are big right now.,s036
1.0,this news have some information about the internet usage and related stuff.,s037
1.0,It is about a teenage girl who became popular for being outspoken over climate change.,s038
0.0,this is known because of my home ladies,s040
1.0,"Because it contains a guide to help individuals reduce their carbon footprint. I believe some people that I know want to take part to promote a healthier environment to save our earth from global warming, however, they don't know what to do or where to start.",s041
0.0,"Why the Wilder Storms? It's a 'Loaded Dice' Problem
Global warming is bringing an era of wilder, more dangerous rains. 
The good news is that we're getting better at evacuating flood zones. 
The bad news is everything else.",s042
0.0,"The California wild fires.  If only the democrats would stop hugging trees and actually do proper forest management, this would not happen.",s043
1.0,A small study looked into people with a metabolic disorder may benefit from supplements of a common gut bacterium,s045
0.0,it describes that nuclear power which affect you personal and cause environment more bad,s046
0.0,Explaining why the word keeps using coal despite certain disadvantages.,s048
1.0,Drinking less sugar drinks improves health.,s049
1.0,Probiotics could be useful for obese people with metabolic disorders.,s051
0.0,Since I am overweight this means a lot to me.,s052
1.0,It gives a sense of perspective on how far we have to go to in order to limit carbon emissions in our electrical grid.,s053
1.0,I am belief that the highest calling of leadership is to respect the potential in others.,s054
0.0,I know people who have suffered from eating disorder(s). This article would be relateable to them.,s055
0.0,Lawsuits about climate change has moved inland.,s056
1.0,Men have been trying to control the climate and failed since the history of our world. We all need to pitch in and save our planet.,s057
1.0,A Dr. with cancer started a company to research the cancer he has.,s058
0.0,"Cancers that are associated with excessive weights have the highest rates in certain states. They are more prevalent in the South, Midwest, Alaska and Washington D.C. while they were less prevalent in Mountain States, New England and Hawaii.",s062
0.0,"It doesn't, except that it pisses me off to see people act so stupidly.",s063
0.0,the US blocking climate change declaration for the Arctic,s064
1.0,"This matters to people I know because a lot of them are eco-friendly, and this would help so much with buying a hybrid or electric car.",s065
0.0,The court system dismissed Exxon's case about climate,s066
0.0,"I have family members with some heart issues, so it is scary to read about all the different outcomes that are associated with heart disease.",s067
0.0,It's about harming endangered animals for money.,s068
1.0,With the pandemic raging it is so important to me to stay healthy for myself and my kids.,s069
1.0,Everyone should get tested for Sleep Apnea! It is more than snoring.,s070
0.0,"Is climate change causing more floods and what makes a flood ""catastrophic""?",s072
1.0,This matters because climate change will affect people that I know.,s073
1.0,We can all make a difference in reducing our city's air pollution,s074
0.0,eating disorder is sometimes unhappy,s075
